mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.4770316282908122,0.020089303598972957,0.00799107551574707,0.00046711966041951,9,5,142,"{'max_depth': 9, 'min_samples_split': 5, 'n_estimators': 142}",-1.0820820311942576,-1.128989004951696,-1.1474205741696557,-1.1194972034385364,0.02750578147118528,1
0.3731166521708171,0.01368145174867361,0.006763935089111328,0.00022863392848325697,17,4,121,"{'max_depth': 17, 'min_samples_split': 4, 'n_estimators': 121}",-1.1049341857368937,-1.1218003466552788,-1.133596837944664,-1.1201104567789455,0.011762332641147302,2
0.4170873959859212,0.028189847587680117,0.025803009668986004,0.027593659596990224,9,3,124,"{'max_depth': 9, 'min_samples_split': 3, 'n_estimators': 124}",-1.1034374285060626,-1.1262153969343403,-1.1336313697989713,-1.1210947317464581,0.012847423390825488,3
0.3967016537984212,0.03270812104532662,0.006319999694824219,0.0003532109894092484,13,9,166,"{'max_depth': 13, 'min_samples_split': 9, 'n_estimators': 166}",-1.0983961526846955,-1.1390862020703352,-1.166425433944499,-1.13463592956651,0.027950545268385404,7
0.38185962041219074,0.014380246338489455,0.005681594212849935,0.0002638166906537463,6,9,180,"{'max_depth': 6, 'min_samples_split': 9, 'n_estimators': 180}",-1.1038002210052837,-1.13675273390865,-1.165329755288785,-1.1352942367342396,0.025140489358694656,9
0.17284727096557617,0.003463318077411131,0.0037132898966471353,3.9277767499607044e-05,4,9,87,"{'max_depth': 4, 'min_samples_split': 9, 'n_estimators': 87}",-1.1491024852303018,-1.156513391186099,-1.1784071123604132,-1.1613409962589378,0.012441050889781265,10
0.1420741081237793,0.003587235260957302,0.003107865651448568,0.00022955523325338999,4,9,70,"{'max_depth': 4, 'min_samples_split': 9, 'n_estimators': 70}",-1.1459150047172706,-1.1470224547595809,-1.1125108634717238,-1.1351494409828584,0.016014274990245235,8
0.22102626164754233,0.017562204068112708,0.005119800567626953,0.0004047308763473028,3,5,107,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 107}",-1.2103840856092527,-1.0660656997826292,-1.1179501907639426,-1.1314666587186082,0.05968791224012707,4
0.2724141279856364,0.010052398315514134,0.00511781374613444,9.008359950437682e-05,14,2,98,"{'max_depth': 14, 'min_samples_split': 2, 'n_estimators': 98}",-1.1050803300043421,-1.1437255753365176,-1.1508429458740017,-1.1332162837382873,0.020106187442857533,5
0.2470529874165853,0.034721709103731985,0.004745880762736003,0.00019193750290624574,12,9,64,"{'max_depth': 12, 'min_samples_split': 9, 'n_estimators': 64}",-1.0830858297689396,-1.185662825003749,-1.1320777146624332,-1.1336087898117073,0.04189087514948869,6
