Modality,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
T1,0.5589783970938236,0.43452137729812557,17.14045888683237,39.44675632166258,28.0638397508698,42.60575078554537,39.86957496403116,45.41314254293574,5687.0298258463545,22.0498846192336,0.37505049666750595,4108.198157951977,0.7223802729644709,5928.0029296875,273.9578002929687,329.6050048828125,210033142.04784167,1.9574883914935568,27.130828857421875,3.674668296291058,381.0198669433594,17.359407062251588,301.690078037237,301.9637145996094,202.52906799316406,178.4907989501953,11.644377088850721,302.5189398257701,-0.22408352447137223,542517246.7934973,0.3066856527166665,500.8057671937603,20.35324582585254,14.452891965947638,0.40815410834989907,2.0252968518417678,1.1452406630577752,0.2709229345275502,0.765017411775836,1.4785790552260325,0.5209109588229544,0.6744990792678407,0.6552244820861736,0.9830912772438276,0.9190626599751703,-0.09052332924336773,0.4454072056358135,0.4903828185171821,4.486729729938337,0.12087258454884431,3.5680180508179427,0.36144888713143497,0.19597805260702972,8.973459459876674,2.509859238660483,0.7926343787248858,5.649972998449201,169.20479302832243,0.0737275786615784,16.6560420730868,703.8435729847495,0.8937466596418281,21.698474945533768,72.7917211328976,1508.0139433551199,3.847148487172646,0.05853415749015655,0.06551339775018299,1.4258033853598906,0.0070114981041711,494.1618992432989,0.28442285751923485,1.0269359537174116,21.866792983395708,2.9332479626687014,62.9104429784895,0.16271670123166546,0.060821202342722355,3.086042041324594,1155.0310460559917,0.6302835844831054,0.7502932797050443,0.7614623845157691,0.8018910867349788,17.62716865114298,0.05024125532410103,23.949640287769785,0.17229957041560995,2.9685834066559704,20.863309352517987,7472.079136690648,160272.5035971223,369.44207773577057,0.12287040775542832,25.618705035971225,0.18430723047461312,0.42170143188545794,8.875663158038648,0.0739068953096197,5.32763510522966,0.06056644880174292,7199.472905129136,6.932976646870855,0.003111035723321331,15.057376103289247,0.017501855600267586,0.07816417517358128
DWI,0.5589783970938236,0.43452137729812557,17.14045888683237,39.44675632166258,28.0638397508698,42.60575078554537,39.86957496403116,45.41314254293574,5687.0298258463545,22.0498846192336,0.37505049666750595,4108.198157951977,0.7223802729644709,5928.0029296875,271.12543334960935,325.38641967773435,205368259.43800887,1.8327608146674934,34.0423583984375,2.0238143231856025,356.55499267578125,17.284603826064995,298.46083409926473,297.7140197753906,264.7054138183594,91.84957885742188,13.589886523323667,299.14056957414766,0.15400114304928458,530467818.56790376,0.3086567844276418,406.21087391666777,6.994492428935742,8.582307511107455,-0.2554005843671805,1.8302497304302148,1.141475955227993,0.2391339819231072,0.7718555851444909,1.4763111833024345,0.5084126845253463,0.6708060029291281,0.6510026256861561,0.9596997104023663,0.8798086369340232,-0.06329546999180799,0.32794573794443416,0.494206012559322,2.611507795241995,0.1126911684618524,3.497524719927023,0.2685353270599978,0.2034358194456455,5.223015590483991,2.4400425254001203,0.7429314214145518,5.445535606198017,173.13856209150327,0.07544163925555698,16.88867738429189,708.367320261438,0.7703122730573712,6.637472766884532,71.73899782135076,562.3246187363834,12.631985838779958,0.2946624304042605,0.06986657139200579,0.3171308260262661,0.04252446494105013,515.7319545552879,0.29715032948513864,0.8323295511950948,6.317218547071294,3.017067713950122,21.505984844709264,0.7230556592024852,0.3297518380032943,2.867356015653097,1169.2147591451796,0.6393143904554278,0.7536115300821185,0.88839753334212,0.8132142881924603,4.962080590706258,0.2876988256002221,76.31297709923665,0.582541809917837,1.2928151040149176,3.8625954198473282,9523.36641221374,62294.69465648855,1761.1425254452927,0.7771692111959287,33.778625954198475,0.25785210652059903,0.5226820657535326,1.5574054951770107,0.4454843708316053,3.7128273247766335,0.05708061002178649,9216.448109084551,29.895915895792886,0.00304097363806322,5.7496264122053065,0.043000945986571476,0.024229661036655806
ADC,0.5589783970938236,0.43452137729812557,17.14045888683237,39.44675632166258,28.0638397508698,42.60575078554537,39.86957496403116,45.41314254293574,5687.0298258463545,22.0498846192336,0.37505049666750595,4108.198157951977,0.7223802729644709,5928.0029296875,290.0114318847656,498.57246704101556,369963573.8372302,3.749745711010802,101.19699096679688,3.4404166463865016,699.354736328125,63.87803741876162,393.0212312486437,389.9363708496094,48.75037384033203,650.604362487793,43.173915264418895,401.50239302728477,0.1449302061895851,955618801.5619862,0.08918602057138518,6738.483394436442,225.35283950321838,2279.6569355936817,35.243803762342516,26.196927288295793,16.546459077372507,0.24387255965400312,3.0445396621504903,3.059229555028151,6.51061093385036,0.38341973251122446,0.3008434294361023,0.9790331143951926,0.9052872807491141,-0.08167760026933167,0.6144823183885284,0.3022391955575644,14.930877975912011,0.010566852752793583,7.136823360725476,0.38193775904993116,0.027020419315517394,29.861755951824037,4.357543065608099,10.685846591417082,6.317382618610221,399.4967320261438,0.17407265012032408,4.162833098380965,204.68191721132897,10.841907908164478,242.69063180827888,14.16165577342048,3069.6858387799566,0.07361518298750315,0.0055593062899753146,0.3143241196846048,84.69814216329324,0.002104301518164528,183.20475498408737,0.08694968826938022,11.263032638184033,244.72433043224342,1.357957882042194,324.1584998712614,0.007421693079985045,0.005604704569360285,4.176850195147288,1832.831409354403,0.8637422817185896,0.9168426344896934,0.1444581899715648,0.9411778976737336,231.70188659982298,0.005303340389510334,55.39018404907976,0.06796341601114081,16.951686551996687,268.3006134969325,63.1079754601227,13258.6,0.31716238395511304,0.006527494269686773,331.13496932515335,0.4063005758590839,0.6627682387460675,185.37277207725134,0.004819050976514222,5.92153357462504,0.355119825708061,55.17839587489179,0.6468775862621553,0.0032116602688033492,570.0115082055358,0.06570649573201784,0.7900196610847322
FLAIR,0.5589783970938236,0.43452137729812557,17.14045888683237,39.44675632166258,28.0638397508698,42.60575078554537,39.86957496403116,45.41314254293574,5687.0298258463545,22.0498846192336,0.37505049666750595,4108.198157951977,0.7223802729644709,5928.0029296875,196.42926330566405,272.03521118164065,133574737.24637905,2.251635237061203,40.23826599121094,5.713302845936581,299.133544921875,24.75366397633272,239.09437103271483,246.05252075195312,67.77529907226562,231.35824584960938,16.754710943755367,241.25194276832212,-1.3637631175938207,345024589.86003184,0.26232892382322087,1036.3816299602645,68.21995497998768,81.17294972823788,-9.800511699366197,4.09651917988096,2.155952260655659,0.3172975657485715,0.9832637240397998,1.8311094071295602,1.1051265850299103,0.6450649546025707,0.6135372958648844,0.9804793238899394,0.9184848220374189,-0.1008888376494676,0.4918985883948683,0.4280684925662216,8.229903830772505,0.11161445754722733,4.035934854329613,0.3789960691776806,0.26049742343984006,16.45980766154501,2.8172174266654038,1.5631178601341547,5.77720076281084,175.1202614379085,0.07630512480954618,24.164931816347938,602.044880174292,1.7365108386612935,66.66710239651417,77.40087145969498,5904.653159041394,1.0579124617611106,0.018908200111320248,0.08316780379729197,4.419470616002009,0.002999196314697663,405.5454525285469,0.2305061369786601,1.965576935037551,64.36844990534233,3.1904455523724256,226.58416533729968,0.051975473691615454,0.020472306244082715,3.317787034054809,1207.695165918338,0.6574580625149093,0.757834757834758,1.0945175009287564,0.8234537123206273,51.7748318388216,0.0177298860867084,27.291666666666668,0.1421440972222222,4.398328993055555,50.666666666666664,4092.5989583333335,319159.4947916667,53.20837933191216,0.041587260579386075,34.96875,0.18212890625,0.4221430874250329,18.316875551550186,0.02280282654105982,5.656925862553459,0.08366013071895424,3949.721761067708,2.918878921817922,0.003146578625984614,35.367329862028846,0.02660593805699529,0.20892809164283796
T2,0.5589783970938236,0.43452137729812557,17.14045888683237,39.44675632166258,28.0638397508698,42.60575078554537,39.86957496403116,45.41314254293574,5687.0298258463545,22.0498846192336,0.37505049666750595,4108.198157951977,0.7223802729644709,5928.0029296875,236.88761291503906,379.3900939941406,230420475.1639653,3.232496372197852,72.4495849609375,3.3069471616298123,512.8720703125,44.40292102297087,311.7283171776333,313.6579895019531,113.0703353881836,399.8017349243164,30.167778780701077,316.8612922128816,-0.1727757229541673,595177887.5084846,0.12738709233390766,3226.5347724179805,88.51262642661248,677.6817847114903,-17.146505432085608,13.357641491267763,6.246220059447809,0.36141040696680576,1.8996561880065892,2.3862289442213096,2.211131912602016,0.4767146526948431,0.4078503948616895,0.9797681873431524,0.9057232937905417,-0.12068091787782781,0.6231938951961988,0.377024559444422,9.310972914880987,0.023832502563042646,5.964542981690792,0.48184586136100915,0.052986112356388664,18.621945829761977,3.8506369542312906,4.900965387678894,6.176331753264514,301.82004357298473,0.1315120015568561,6.082737408688966,292.3533769063181,5.25279261062934,85.7437908496732,25.54640522875817,2292.79128540305,0.34723930474619535,0.018148080894492227,0.15343804575695458,13.734427064840704,0.003619185549889833,245.53269788505423,0.12269368825202086,5.564496096578732,85.50382098537119,1.6749116211436939,144.3109029371878,0.02851982625610285,0.018714946787407115,3.8600891579447048,1614.923653268755,0.7885415052577099,0.8687782805429864,0.26222593635978364,0.8994929350865116,76.72809447569891,0.01717679511522275,35.0654911838791,0.08832617426669796,10.085566179596341,89.28211586901763,368.9395465994962,32416.7758186398,4.489624996740127,0.02565695120987893,87.32241813602015,0.21995571318896764,0.4749905055922887,45.30179548273588,0.012593455999785012,6.264625329516226,0.17298474945533768,335.5212456141463,1.6003891720127366,0.003414868451886307,143.67053569974152,0.046002684494993624,0.36386781143464925
