iter	Logloss
382	0.3049687075
383	0.3045882357
384	0.3041829572
385	0.3036745378
386	0.3032992008
387	0.3029855459
388	0.3023677256
389	0.3019231061
390	0.3015529824
391	0.3010867286
392	0.3006650856
393	0.3000414522
394	0.2996994348
395	0.29937461
396	0.2989984601
397	0.2984698846
398	0.2977698648
399	0.297520286
400	0.2969430343
401	0.2963061411
402	0.2959364763
403	0.2952442672
404	0.2949561942
405	0.2944033934
406	0.2939412821
407	0.2936046206
408	0.2929852004
409	0.2923752069
410	0.2917366642
411	0.2912093038
412	0.2906263831
413	0.289946216
414	0.2894608427
415	0.2889764125
416	0.2885630663
417	0.2880611295
418	0.2877204917
419	0.2872068558
420	0.2866484744
421	0.2862882974
422	0.285805107
423	0.2852869157
424	0.2849573926
425	0.2844574246
426	0.2839656608
427	0.2832062376
428	0.2827148197
429	0.2821061295
430	0.2818787662
431	0.2815917031
432	0.2813402381
433	0.2810985792
434	0.2805847231
435	0.2801441522
436	0.2798177089
437	0.2792717032
438	0.2787030653
439	0.2783183923
440	0.2777037237
441	0.2772494617
442	0.2770849754
443	0.2766157772
444	0.2762731321
445	0.2757335608
446	0.2753563104
447	0.2750753452
448	0.2746225807
449	0.2740737304
450	0.2737924723
451	0.2733701296
452	0.2727958975
453	0.2722961252
454	0.2716276951
455	0.2713868724
456	0.2710437792
457	0.2704288745
458	0.2697766136
459	0.2694363292
460	0.2689517357
461	0.2684176302
462	0.2678682286
463	0.2673685652
464	0.2669580859
465	0.2664479516
466	0.2660778843
467	0.265745985
468	0.2652781413
469	0.2651156657
470	0.2645212872
471	0.2640870746
472	0.2634857286
473	0.2630715766
474	0.2627161162
475	0.2623584596
476	0.2620153164
477	0.2613719544
478	0.261023071
479	0.2606714942
480	0.2602610543
481	0.2600278354
482	0.2596778106
483	0.2592891822
484	0.2588223989
485	0.2582586855
486	0.2578007459
487	0.2573722623
488	0.2569600899
489	0.2565253709
490	0.2562607392
491	0.2559277437
492	0.2555387686
493	0.2553556878
494	0.2550645315
495	0.2545058565
496	0.2541974772
497	0.2537823242
498	0.2534639219
499	0.2531640669
500	0.2526331142
501	0.2521186519
502	0.2517070242
503	0.2514733902
504	0.2512226326
505	0.251061256
506	0.250756169
507	0.250209175
508	0.2497754024
509	0.2494072868
510	0.2492366812
511	0.2489309891
512	0.2486218283
513	0.248252944
514	0.2478752622
515	0.2477274005
516	0.2473689166
517	0.2468891758
518	0.2465658601
519	0.2460394527
520	0.2456933639
521	0.2455142696
522	0.2451816528
523	0.2449463384
524	0.244598213
525	0.2441469199
526	0.2437391133
527	0.243039121
528	0.2426669208
529	0.2424370573
530	0.2419065924
531	0.2414113908
532	0.2411422169
533	0.2407509526
534	0.2403531322
535	0.2399615476
536	0.2397244496
537	0.2393289742
538	0.239084339
539	0.2386207417
540	0.238336046
541	0.2380967335
542	0.2378380966
543	0.2375068504
544	0.237278497
545	0.236895901
546	0.236582665
547	0.236317129
548	0.2360779027
549	0.2357508643
550	0.2355604658
551	0.2351843082
552	0.234882111
553	0.2345622617
554	0.2342015402
555	0.2338486668
556	0.2335466581
557	0.233135193
558	0.2329804941
559	0.232647203
560	0.2320699439
561	0.2317726417
562	0.2315189576
563	0.2311408517
564	0.2309184077
565	0.230560694
566	0.2301788218
567	0.2298026654
568	0.2294925655
569	0.2291229606
570	0.2288295827
571	0.2286249727
572	0.2282576594
573	0.2279969551
574	0.2278284439
575	0.2275784277
576	0.2272676782
577	0.2269117055
578	0.2265251581
579	0.2260917102
580	0.2254894103
581	0.2251402428
582	0.2248767609
583	0.2246654794
584	0.2243479542
585	0.2240547941
586	0.2237010457
587	0.2235126304
588	0.2232729185
589	0.22298335
590	0.2227644922
591	0.2223328108
592	0.2220055172
593	0.2216271317
594	0.2213835945
595	0.2210270937
596	0.2206491591
597	0.2203305413
598	0.2201456403
599	0.2198816701
600	0.2195344752
601	0.2190932354
602	0.2186188564
603	0.2182077259
604	0.2179039517
605	0.2177367228
606	0.2174686144
607	0.2170575188
608	0.2168188863
609	0.2166258885
610	0.2161287903
611	0.2159007208
612	0.2156660891
613	0.215277506
614	0.2149061096
615	0.2144559565
616	0.2141374843
617	0.2135492702
618	0.2132559073
619	0.212918085
620	0.2125883645
621	0.2121098518
622	0.2118599527
623	0.2115247648
624	0.2113407081
625	0.2110282377
626	0.2107140965
627	0.210488864
628	0.2102397166
629	0.2099458066
630	0.2096827827
631	0.2093659305
632	0.2090220235
633	0.2087498412
634	0.2084511129
635	0.2080730164
636	0.2077459226
637	0.2074395251
638	0.2071942971
639	0.2069337575
640	0.2065917253
641	0.2062692078
642	0.2060031445
643	0.205534262
644	0.2050599465
645	0.2047170631
646	0.2044042251
647	0.2040292499
648	0.203633204
649	0.2033020267
650	0.2028597606
651	0.2024979812
652	0.2020949803
653	0.2019121387
654	0.2015388923
655	0.2013769384
656	0.2011820546
657	0.2008841451
658	0.2007474986
659	0.2003166479
660	0.1998501028
661	0.199507966
662	0.1991434325
663	0.1988546691
664	0.1986160655
665	0.1983830583
666	0.198174039
667	0.1978634678
668	0.1975561123
669	0.1972487997
670	0.1969329527
671	0.1965721428
672	0.1962837919
673	0.1960439142
674	0.1959434999
675	0.1957458022
676	0.195500071
677	0.1950587976
678	0.1949559618
679	0.194677033
680	0.1945834438
681	0.1942723937
682	0.1940477892
683	0.1937917182
684	0.1935493693
685	0.1931231978
686	0.1929613653
687	0.1926916017
688	0.192477531
689	0.1923446621
690	0.1920702263
691	0.1918021716
692	0.1915615478
693	0.1913277834
694	0.1909373131
695	0.1907661566
696	0.1904873981
697	0.1902297504
698	0.1900082814
699	0.1897376275
700	0.1894993997
701	0.1891599527
702	0.1888807443
703	0.188637466
704	0.188309549
705	0.1880744337
706	0.1879064028
707	0.1876705907
708	0.1874430663
709	0.1870626525
710	0.1868151315
711	0.1865751427
712	0.1864158965
713	0.1860476703
714	0.1856742928
715	0.1853551369
716	0.1851431408
717	0.1847147902
718	0.1844963962
719	0.1843241519
720	0.1840888796
721	0.1839203999
722	0.1836994463
723	0.1833495614
724	0.1831018361
725	0.1830020195
726	0.1828172391
727	0.1825298958
728	0.1823307155
729	0.1820058561
730	0.1818334507
731	0.1815052095
732	0.1814369289
733	0.1812600721
734	0.1810753576
735	0.1807924232
736	0.1805489718
737	0.1803312851
738	0.1800269704
739	0.1798439569
740	0.1794995985
741	0.179041352
742	0.1787877699
743	0.1785764949
744	0.1783184209
745	0.1781478897
746	0.1779206288
747	0.1777443533
748	0.1774428041
749	0.1772614878
750	0.1770597599
751	0.1767860861
752	0.1765977633
753	0.1763380134
754	0.1762916011
755	0.1759664487
756	0.1756489175
757	0.1755105189
758	0.1753205487
759	0.1751448746
760	0.1750231814
761	0.1749279883
762	0.1746150374
763	0.1744320782
764	0.1742481734
765	0.1740623787
766	0.1738252982
767	0.1736321864
768	0.173402336
769	0.1732134374
770	0.1730194811
771	0.1727329069
772	0.1723895784
773	0.1721836852
774	0.1719283173
775	0.1717223449
776	0.171527651
777	0.1712555757
778	0.1710197476
779	0.1708194903
780	0.170514714
781	0.1703142898
782	0.1701183838
783	0.1697766173
784	0.1695223069
785	0.1694437648
786	0.1692316363
787	0.1690093785
788	0.1686625796
789	0.1683595477
790	0.1681144812
791	0.1677779924
792	0.1675846519
793	0.1673768937
794	0.1671552862
795	0.1668150763
796	0.1667037833
797	0.1664937939
798	0.1663687323
799	0.1662703463
800	0.1660438618
801	0.165818636
802	0.1656812507
803	0.1655907969
804	0.1653101809
805	0.1650549092
806	0.1649188085
807	0.1647089301
808	0.1644526018
809	0.1642315026
810	0.163932164
811	0.1636938491
812	0.1634316319
813	0.163240668
814	0.1630220588
815	0.1628165238
816	0.1625034092
817	0.1624398105
818	0.1622860693
819	0.162131113
820	0.1618630962
821	0.1617348656
822	0.1615012618
823	0.1612062189
824	0.1609763498
825	0.1608408101
826	0.1606747923
827	0.1604572288
828	0.1602752948
829	0.1600568197
830	0.1598468942
831	0.1596546343
832	0.1593939964
833	0.1592293257
834	0.1590337386
835	0.1588339293
836	0.1586146498
837	0.1583435047
838	0.1581532862
839	0.1578988452
840	0.157776006
841	0.1575467486
842	0.1573516394
843	0.15708931
844	0.1568290606
845	0.1566443767
846	0.1565365355
847	0.1563541632
848	0.1561498823
849	0.1558188757
850	0.1555959977
851	0.1554400908
852	0.1552814213
853	0.1551605462
854	0.1548720402
855	0.1546201114
856	0.1544908791
857	0.1543097736
858	0.1541699628
859	0.1540374134
860	0.1539025415
861	0.1537121206
862	0.1535927822
863	0.1534590445
864	0.153261039
865	0.1531204194
866	0.1529583386
867	0.1526995839
868	0.1524582123
869	0.1524031136
870	0.1521592752
871	0.1520175665
872	0.1518432414
873	0.1517057247
874	0.1515247877
875	0.1514110465
876	0.1512625209
877	0.1510851686
878	0.1509171801
879	0.1506891801
880	0.1504846731
881	0.1502726327
882	0.1500565532
883	0.1497802488
884	0.149526745
885	0.1493767013
886	0.1492259249
887	0.1490502867
888	0.1489131561
889	0.1486982401
890	0.1485307624
891	0.1483046839
892	0.1480914111
893	0.147839538
894	0.1477258254
895	0.1475022698
896	0.1473368492
897	0.1470708831
898	0.1470060358
899	0.146874757
900	0.1466884073
901	0.1464786935
902	0.1463240115
903	0.1461650467
904	0.1460828459
905	0.1459384845
906	0.1457468224
907	0.1455085655
908	0.1453525352
909	0.1452339263
910	0.1450112019
911	0.1448845573
912	0.1447165978
913	0.1445659937
914	0.1444511565
915	0.1441366251
916	0.1438509139
917	0.1436819809
918	0.1434679222
919	0.1432640028
920	0.1431193133
921	0.1429389866
922	0.1426948611
923	0.1425177643
924	0.1423732148
925	0.1421904888
926	0.1419989313
927	0.1417572103
928	0.1416588124
929	0.1415322948
930	0.1414568649
931	0.141240281
932	0.1410491719
933	0.1409380351
934	0.1408289529
935	0.1406487472
936	0.1405183307
937	0.1403744687
938	0.1400371718
939	0.1398627314
940	0.1397154668
941	0.1396221053
942	0.139487772
943	0.1393702736
944	0.1391664981
945	0.1388768143
946	0.1385914271
947	0.1384455446
948	0.1380610728
949	0.1379397183
950	0.1377699295
951	0.1377111782
952	0.137547361
953	0.1373801701
954	0.1372556273
955	0.1370350908
956	0.1368091646
957	0.1365925048
958	0.1364282379
959	0.1363383978
960	0.136170316
961	0.136041864
962	0.1358653522
963	0.1356665511
964	0.1353902065
965	0.1352371364
966	0.1350259326
967	0.1348402714
968	0.1347322303
969	0.1346169724
970	0.1345095792
971	0.1343615075
972	0.1342111664
973	0.1340420502
974	0.1338982654
975	0.1336689416
976	0.1334153947
977	0.1332326092
978	0.1330984179
979	0.1329910742
980	0.132870457
981	0.1326852245
982	0.1325305884
983	0.1324247407
984	0.1322521343
985	0.131998752
986	0.1318535636
987	0.1317075747
988	0.1314827782
989	0.1313388437
990	0.1310970706
991	0.1310021801
992	0.1308621673
993	0.1306514731
994	0.1304920278
995	0.1304756766
996	0.1302869427
997	0.1301147331
998	0.1299504286
999	0.1298870655
