feature,perm_importance_mean
original_glcm_SumEntropy,-6.557377049576373e-07
original_gldm_SmallDependenceEmphasis,-6.885245902199521e-07
original_firstorder_90Percentile,-6.885245902310544e-07
original_gldm_HighGrayLevelEmphasis,-1.6393442623496846e-06
original_glcm_Contrast,-1.9344262295661884e-06
original_gldm_SmallDependenceHighGrayLevelEmphasis,-2.7213114754509602e-06
original_glrlm_RunEntropy,-3.8032786885744407e-06
original_glrlm_RunVariance,-5.934426229559086e-06
Stentriever used?,-7.672131147584694e-06
Balloon guide used?,-8.819672131188395e-06
Prior Stroke,-9.868852459071764e-06
