feature,importance
Etiology,0.0
Year,0.0
Baseline mRS,0.0
Pre-admission anti-thrombotics,0.0
Prior Stroke,0.0
CAD,0.0
Unnamed: 77,0.0
AFIB,0.0
Unnamed: 2,0.0
Hypertension,0.0
Race,0.0
Age,0.0
Sex,0.0
Service date,0.0
Encompass MRN,0.0
MRN,0.0
original_glszm_SizeZoneNonUniformity,0.0
