feature,importance
original_glszm_SmallAreaHighGrayLevelEmphasis,0.0
original_glszm_SmallAreaLowGrayLevelEmphasis,0.0
original_glszm_ZoneEntropy,0.0
original_glszm_ZonePercentage,0.0
original_ngtdm_Busyness,0.0
Device 1 name,0.0
original_ngtdm_Contrast,0.0
original_glcm_JointEntropy,0.0
original_ngtdm_Strength,0.0
WF Identifier,0.0
Unnamed: 2,0.0
Balloon guide used?,0.0
Service date,0.0
Vessel 3,0.0
Hypertension,0.0
Location,0.0
original_glszm_GrayLevelNonUniformityNormalized,0.0
Device 2 name,0.0
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0
original_glrlm_RunVariance,0.0
Reason for stent,0.0
Stent Name,0.0
original_glcm_SumAverage,0.0
original_glcm_SumEntropy,0.0
original_gldm_DependenceEntropy,0.0
Pre-admission anti-thrombotics,0.0
original_gldm_HighGrayLevelEmphasis,0.0
original_gldm_LargeDependenceEmphasis,0.0
original_gldm_LowGrayLevelEmphasis,0.0
original_gldm_SmallDependenceEmphasis,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0
original_glrlm_GrayLevelVariance,0.0
original_glrlm_HighGrayLevelRunEmphasis,0.0
original_glrlm_LongRunHighGrayLevelEmphasis,0.0
original_glrlm_LowGrayLevelRunEmphasis,0.0
original_glrlm_RunEntropy,0.0
Device 3 name,0.0
original_gldm_GrayLevelNonUniformity,0.0
