split,MAE,R2,Accuracy,F1,Precision,Recall
train,0.03303571428571427,0.9979558935361217,,,,
test,0.08749999999999998,0.9902808071328015,0.9285714285714286,0.9307692307692308,0.9583333333333334,0.9285714285714286
