Model,CV_F1_Mean,CV_F1_Std,Test_F1,Test_AUC,Test_Accuracy
SVM,0.6966602388671354,0.06837422311110947,0.7272727272727273,0.696969696969697,0.6538461538461539
XGBoost,0.6687017543859649,0.10116377903059019,0.6666666666666666,0.5878787878787878,0.6153846153846154
Extra Trees,0.6892995699952221,0.06496183184977423,0.6451612903225806,0.6363636363636364,0.5769230769230769
Gradient Boosting,0.5952569169960473,0.12311729539245399,0.6428571428571429,0.6242424242424242,0.6153846153846154
Random Forest,0.650431134083308,0.10283019236734321,0.6206896551724138,0.6303030303030304,0.5769230769230769
CatBoost,0.6725185185185184,0.11014553285893691,0.6206896551724138,0.593939393939394,0.5769230769230769
LightGBM,0.605789138397834,0.0998378224879785,0.6206896551724138,0.5696969696969697,0.5769230769230769
Logistic Regression,0.7117241379310345,0.08514255418504435,0.6,0.5454545454545454,0.5384615384615384
Neural Network,0.6879640573004417,0.06795078732856873,0.5517241379310345,0.5757575757575758,0.5
