Model,All Features,Top 100,Top 70,Top 50
CatBoost,0.6666666666666666,0.7096774193548387,0.7096774193548387,0.7096774193548387
Extra Trees,0.7058823529411765,0.7428571428571429,0.75,0.7058823529411765
Gradient Boosting,0.7272727272727273,0.6206896551724138,0.6875,0.6451612903225806
Random Forest,0.75,0.5714285714285714,0.7096774193548387,0.6666666666666666
SVM,0.2222222222222222,0.75,0.7096774193548387,0.7096774193548387
