Model,CV_F1_Mean,CV_F1_Std,Test_F1,Test_AUC,Test_Accuracy
SVM (Balanced),0.6966602388671354,0.06837422311110947,0.7272727272727273,0.696969696969697,0.6538461538461539
Gradient Boosting (Balanced),0.5952569169960473,0.12311729539245399,0.6428571428571429,0.6242424242424242,0.6153846153846154
Random Forest (Balanced),0.650431134083308,0.10283019236734321,0.6206896551724138,0.6303030303030304,0.5769230769230769
Logistic Regression (Balanced),0.7117241379310345,0.08514255418504435,0.6,0.5454545454545454,0.5384615384615384
