mRS_Score,Total_Patients,Train_Patients,Test_Patients,Train_Percentage,Test_Percentage
0,4,3,1,75.0,25.0
1,36,28,8,77.77777777777779,22.22222222222222
2,35,28,7,80.0,20.0
3,23,18,5,78.26086956521739,21.73913043478261
4,24,19,5,79.16666666666666,20.833333333333336
5,6,4,2,66.66666666666666,33.33333333333333
