Feature,F_Score
FLAIR_original_glcm_Idn,12.247608272771688
ADC_original_glszm_ZoneEntropy,11.616838330854476
T1_original_glcm_Idn,11.091730350690433
FLAIR_original_glcm_Idmn,10.059894837545327
DWI_original_glrlm_RunVariance,8.914687803204489
ADC_original_firstorder_Minimum,8.65867917314456
T2_original_gldm_SmallDependenceLowGrayLevelEmphasis,8.636145612592493
T1_original_shape_Maximum2DDiameterColumn,8.389671347958869
ADC_original_shape_Maximum2DDiameterColumn,8.389671347958869
T2_original_shape_Maximum2DDiameterColumn,8.389671347958869
DWI_original_shape_Maximum2DDiameterColumn,8.389671347958869
FLAIR_original_shape_Maximum2DDiameterColumn,8.389671347958869
DWI_original_glrlm_LongRunEmphasis,8.294152101441085
FLAIR_original_gldm_DependenceVariance,8.044568041061012
T2_original_shape_Maximum2DDiameterRow,8.03742631606758
FLAIR_original_shape_Maximum2DDiameterRow,8.03742631606758
DWI_original_shape_Maximum2DDiameterRow,8.03742631606758
T1_original_shape_Maximum2DDiameterRow,8.03742631606758
ADC_original_shape_Maximum2DDiameterRow,8.03742631606758
T2_original_glcm_Idn,7.667238625206886
FLAIR_original_glrlm_LongRunEmphasis,7.5335756355444685
FLAIR_original_shape_Maximum3DDiameter,7.467110689328993
DWI_original_shape_Maximum3DDiameter,7.467110689328993
T2_original_shape_Maximum3DDiameter,7.467110689328993
T1_original_shape_Maximum3DDiameter,7.467110689328993
ADC_original_shape_Maximum3DDiameter,7.467110689328993
T1_original_glcm_Idmn,7.326594604290312
FLAIR_original_glrlm_RunVariance,7.273853294687873
ADC_original_shape_Maximum2DDiameterSlice,7.234320490296277
DWI_original_shape_Maximum2DDiameterSlice,7.234320490296277
T2_original_shape_Maximum2DDiameterSlice,7.234320490296277
T1_original_shape_Maximum2DDiameterSlice,7.234320490296277
FLAIR_original_shape_Maximum2DDiameterSlice,7.234320490296277
ADC_original_gldm_DependenceEntropy,7.170386778500734
T2_original_glcm_Idmn,7.050546478746191
FLAIR_original_gldm_LargeDependenceEmphasis,6.910523277721117
ADC_original_gldm_SmallDependenceLowGrayLevelEmphasis,6.403538731123237
FLAIR_original_glrlm_RunPercentage,6.178685083700781
T1_original_firstorder_Minimum,6.145856721959456
FLAIR_original_shape_SurfaceVolumeRatio,6.0901054843518505
ADC_original_shape_SurfaceVolumeRatio,6.0901054843518505
T1_original_shape_SurfaceVolumeRatio,6.0901054843518505
DWI_original_shape_SurfaceVolumeRatio,6.0901054843518505
T2_original_shape_SurfaceVolumeRatio,6.0901054843518505
T2_original_gldm_DependenceEntropy,5.966469052507451
FLAIR_original_gldm_SmallDependenceLowGrayLevelEmphasis,5.898963834543605
DWI_original_shape_VoxelVolume,5.78060277465512
T2_original_shape_VoxelVolume,5.78060277465512
ADC_original_shape_VoxelVolume,5.78060277465512
FLAIR_original_shape_VoxelVolume,5.78060277465512
