Model,CV_F1_Mean,CV_F1_Std,Test_F1,Test_AUC,Test_Accuracy
Extra Trees,0.6952167832167834,0.07186832194747007,0.7272727272727273,0.6424242424242425,0.6538461538461539
SVM,0.688392572944297,0.0694154525176551,0.7272727272727273,0.6121212121212122,0.6538461538461539
Random Forest,0.6888926725448464,0.07013973572022081,0.7096774193548387,0.6424242424242423,0.6538461538461539
LightGBM,0.6613333333333332,0.010666666666666647,0.7096774193548387,0.6181818181818182,0.6538461538461539
XGBoost,0.672923076923077,0.027027927699689515,0.6875,0.6060606060606061,0.6153846153846154
Gradient Boosting,0.6420854507811029,0.05291714403020626,0.6666666666666666,0.706060606060606,0.6538461538461539
CatBoost,0.7296143856143857,0.08496857540719241,0.6451612903225806,0.6363636363636364,0.5769230769230769
Logistic Regression,0.6921802834846312,0.046439642137271135,0.6206896551724138,0.5272727272727272,0.5769230769230769
