Model,CV_F1_Mean,CV_F1_Std,Test_F1,Test_AUC,Test_Accuracy
Random Forest (Tuned),0.7287370600414078,0.053603663999522946,0.6206896551724138,0.5722222222222222,0.5925925925925926
Logistic Regression (Tuned),0.7203445747800586,0.020823050382917187,0.717948717948718,0.6277777777777778,0.5925925925925926
