Model,CV_AUC_Mean,CV_AUC_Std,Test_AUC,Accuracy,Precision,Recall,F1_Score
Naive Bayes,0.6636574074074074,0.09684561094544472,0.8,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.6896551724137931
Gradient Boosting,0.5898148148148149,0.14259259259259263,0.65,0.5555555555555556,0.5789473684210527,0.7333333333333333,0.6470588235294118
Logistic Regression,0.548148148148148,0.12848702784223448,0.6277777777777778,0.5185185185185185,0.5714285714285714,0.5333333333333333,0.5517241379310345
XGBoost-style (Gradient Boosting),0.5527777777777778,0.13099806802835104,0.6277777777777778,0.5185185185185185,0.55,0.7333333333333333,0.6285714285714286
Support Vector Machine,0.6305555555555555,0.13871594170409263,0.6166666666666667,0.6296296296296297,0.6190476190476191,0.8666666666666667,0.7222222222222222
Decision Tree,0.48888888888888893,0.13448576041011334,0.5916666666666666,0.5925925925925926,0.6428571428571429,0.6,0.6206896551724138
Neural Network,0.58125,0.07669132051265845,0.5888888888888889,0.5185185185185185,0.5625,0.6,0.5806451612903226
Random Forest,0.584375,0.10560757530725287,0.5638888888888889,0.5555555555555556,0.5882352941176471,0.6666666666666666,0.625
