Model,CV_F1_Mean,CV_F1_Std,Test_F1,Test_AUC,Test_Accuracy
SVM,0.6681634018155758,0.06383656693773888,0.7096774193548387,0.6,0.6538461538461539
LightGBM,0.6600593792172739,0.03601988349924897,0.7096774193548387,0.5878787878787879,0.6538461538461539
Random Forest,0.6947940947940947,0.07352170239266795,0.6875,0.6424242424242425,0.6153846153846154
Extra Trees,0.7069090909090909,0.07905558249717057,0.6666666666666666,0.6242424242424243,0.5769230769230769
CatBoost,0.732463768115942,0.05632145861279745,0.6451612903225806,0.6242424242424243,0.5769230769230769
Logistic Regression,0.6643809523809524,0.08283820254238686,0.6428571428571429,0.5515151515151515,0.6153846153846154
XGBoost,0.6859183135704876,0.02994109848415889,0.625,0.5757575757575757,0.5384615384615384
Gradient Boosting,0.60204329004329,0.05340327117333981,0.5714285714285714,0.6272727272727273,0.5384615384615384
