,T1,DWI,ADC,FLAIR,T2,Cross-Modality
T1,0.3398099614379434,0.031156154086821947,-0.016050110201137273,0.01260506968371418,-0.0018800950363041529,0.1761052891430141
DWI,0.031156154086821947,0.4190876510848944,0.01048023697734877,-0.019793548553415627,0.0437145538683054,0.23299553999541647
ADC,-0.016050110201137276,0.01048023697734877,0.30347180704255006,0.013354535342945884,-0.01416672619306704,0.16672366626888613
FLAIR,0.01260506968371418,-0.019793548553415627,0.013354535342945888,0.3988238320595596,-0.01855243236776963,0.0386882907421202
T2,-0.001880095036304154,0.04371455386830541,-0.014166726193067043,-0.01855243236776963,0.4238475629202988,0.03279852237107013
Cross-Modality,0.17610528914301407,0.23299553999541647,0.16672366626888613,0.038688290742120206,0.03279852237107013,0.3777310169740978
