Feature,RandomForest_Importance,F_Score,Mutual_Info,Variance,Target_Correlation
T1_feature_1,0.00816384013851411,0.06635287880602043,0.027333164026199785,1.0050251256281406,0.01830309494909279
T1_feature_2,0.009275357125964513,0.023159812209255063,0.0,1.0050251256281406,0.010814576665020292
T1_feature_3,0.009692373190012114,0.006804099413778802,0.007539464154519893,1.0050251256281406,0.005861992630496525
T1_feature_4,0.009397968947704496,0.006057762766166829,0.0,1.0050251256281404,0.00553116854150155
T1_feature_5,0.005462553176538938,0.37359595681823876,0.0,1.0050251256281406,0.04339694430805304
T1_feature_6,0.007501566165795404,0.13555967620429688,0.0,1.005025125628141,0.02615676607442475
T1_feature_7,0.00941862469983941,0.007582123006789716,0.020265081674254892,1.0050251256281406,0.006188059808977318
T1_feature_8,0.01067475771479664,0.43347510227288283,0.0,1.0050251256281406,0.04673848273196943
T1_feature_9,0.008051097593323593,0.3667802394107809,0.0,1.0050251256281408,0.0430000036781822
T1_feature_10,0.00514429185622145,0.22929847754994143,0.0,1.005025125628141,0.03401078559698687
T1_feature_11,0.007599235726849012,0.34988548250047996,0.0,1.0050251256281406,0.041999776999372226
T1_feature_12,0.00816027628719166,0.2722251871458944,0.06456796343301896,1.0050251256281406,0.0370538391734607
T1_feature_13,0.006749685032333571,0.06653444480355133,0.04114132063137643,1.0050251256281406,0.018328111456718307
T1_feature_14,0.004600805547859366,0.18827162631127786,0.02396434074851439,1.0050251256281406,0.030821478075989697
T1_feature_15,0.006840545414525254,0.0005501269369189458,0.0,1.0050251256281406,0.0016668566686245108
T1_feature_16,0.003597314473235753,0.000908700555703315,0.0,1.0050251256281406,0.002142282820616951
T1_feature_17,0.007173290517288581,0.195578667519554,0.0,1.0050251256281404,0.03141331436260832
T1_feature_18,0.0036969084352471847,0.17720582561293183,6.790793296373998e-05,1.005025125628141,0.029902820037589026
T1_feature_19,0.006325805498646701,0.08181162158287901,0.0,1.0050251256281406,0.020322877565068512
