,T1,DWI,ADC,FLAIR,T2,Cross-Modality
T1,-0.011909679584916113,0.0014094589038260565,0.002145724484110787,0.0026646497086325357,0.010512600918158126,-0.004371622816436618
DWI,0.0014094589038260565,-0.01792774923472023,0.006233346150978628,0.007472784695764252,0.013949334096116978,-0.0020434990515386642
ADC,0.0021457244841107882,0.006233346150978626,0.0016573859758998092,-0.004141285867311814,0.01718170643196369,0.007163765397555244
FLAIR,0.0026646497086325375,0.007472784695764252,-0.004141285867311816,0.007216320835793477,0.008923170651204463,0.003860033724134946
T2,0.010512600918158125,0.013949334096116976,0.017181706431963685,0.008923170651204463,-0.002724004135991145,0.0004837622865502982
Cross-Modality,-0.004371622816436616,-0.0020434990515386686,0.007163765397555241,0.0038600337241349453,0.0004837622865502946,0.0042925900471446725
